Node,Organism,Type,Pathway,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
cpd:C09332,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.00317208164706179,0.055159129711509,2.1188561872645386e-05
cpd:C03541,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.04968650183366852,1.0133691529671198e-06
rn:R00942,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.004754340179280609,0.058365758754863814,9.4492493816744e-05
rn:R04286,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.0401580826109128,4.539186854748156e-11
cpd:C03684,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.03860885552321128,1.0157897620016751e-11
rn:R05553,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.034248437075292196,5.5506410107802374e-12
cpd:C11355,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.00317208164706179,0.035459994934286435,2.487380516325265e-11
cpd:C00568,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.03311519356619096,1.1826958861428321e-12
rn:R01716,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.004754340179280609,0.03675827061088745,1.1123476720468554e-10
rn:R09394,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.014194939294224442,0.037817396002161,2.9087456218235877e-11
cpd:C21310,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.012627809927253932,0.036457278435230465,9.713621714570783e-12
rn:R11372,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.011058159032742036,0.035189633022398484,3.278314546501341e-12
cpd:C18239,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.009485986610688757,0.03400534369686665,1.1144941474071963e-12
rn:R09395,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.007911292661094091,0.03289645449323795,3.807610862831567e-13
cpd:C05924,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.006334077183958042,0.03185599069602811,1.3052008656054795e-13
rn:R09726,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.004754340179280609,0.030877812086457873,4.483626924281521e-14
cpd:C19848,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.00317208164706179,0.029956491761964764,1.5406412194685763e-14
rn:R09735,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.029087215476245442,5.241329586705191e-15
cpd:C18237,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.02826569755703614,1.6148888625679179e-15
rn:R09543,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.009485986610688757,0.04718747659351359,5.907509441678208e-07
cpd:C19673,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.011058159032742036,0.049499116087212726,2.621960181216982e-06
rn:R10115,bsu,reaction,Biosynthesis of cofactors,0.002380952380952381,0.01809637278263172,0.05204460966542751,1.1648983315758556e-05
cpd:C20372,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.003936734873986662,0.049487451396253095,2.622272824051619e-06
rn:R10116,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0023595193968506123,0.04716981132075472,5.922016604870602e-07
cpd:C20373,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.0007955419393068322,0.04505954296749276,1.3999235508581928e-07
rn:R10117,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,2.8367184840576423e-05,0.04319210201563143,6.013839669063099e-08
cpd:C20374,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.0008201268328353317,0.045101478326234026,1.3999230562146929e-07
rn:R10118,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0023922992548886116,0.047215768567788356,5.922014336719611e-07
cpd:C20375,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.003969514732024661,0.04953803813642618,2.6222718312881744e-06
rn:R10119,bsu,reaction,Biosynthesis of cofactors,0.002380952380952381,0.03823140058247287,0.052100562355276214,1.164897897091933e-05
cpd:C20376,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.03126694151316868,0.049600440892807934,2.6219411258756307e-06
