Organism,Pathway,Degree Centrality,Degree Centrality,Degree Centrality,Betweenness Centrality,Betweenness Centrality,Betweenness Centrality,Closeness Centrality,Closeness Centrality,Closeness Centrality,Eigenvector Centrality,Eigenvector Centrality,Eigenvector Centrality
,,mean,max,min,mean,max,min,mean,max,min,mean,max,min
bsu,2-Oxocarboxylic acid metabolism,0.0018665966692915333,0.0038498556304138,0.0009624639076034,0.009439782863765381,0.1756143570157768,0.0,0.04716776464424321,0.069971041820998,0.0278634449837753,0.00025686477953074403,0.0068533286389415,4.609559880642039e-12
bsu,Biosynthesis of amino acids,0.002464722387725236,0.0086621751684311,0.0009624639076034,0.03569689486230762,0.3740582196872755,0.0,0.049041638257923625,0.0727438213260519,0.0273745224608088,0.015094656728269902,0.3717000795795063,2.2707416384713017e-12
bsu,Biosynthesis of cofactors,0.002198859850447872,0.0105871029836381,0.0009624639076034,0.030675582190734383,0.2292676194942793,0.0,0.042231005683847966,0.0681445530268249,0.0232818697201245,0.0037988064193892365,0.3267448268343987,4.1309124258905365e-13
bsu,Biosynthesis of nucleotide sugars,0.0019718772741143756,0.0038498556304138,0.0009624639076034,0.010671890234646743,0.0568792183434478,0.0,0.04542087633580609,0.059293499971466,0.0360126165470867,0.006604375330082073,0.0699347760104839,4.666689474253627e-09
bsu,Biosynthesis of secondary metabolites,0.0018329726647989125,0.0048123195380173,0.0009624639076034,0.016106849995044227,0.2482473466901444,0.0,0.04219308954271589,0.0704072643491224,0.0263953458831897,0.003856040539619612,0.2690634396360825,5.404513294122662e-12
bsu,Carbon metabolism,0.0021470348708076824,0.0048123195380173,0.0009624639076034,0.013517686809712595,0.1644060971691137,0.0,0.05722077064711785,0.0687669600900125,0.0426816744033192,0.017631636065748992,0.2074146542631183,1.4184522361229553e-07
bsu,Fatty acid metabolism,0.0020729991856074264,0.0086621751684311,0.0009624639076034,0.03079041247919162,0.276106297190032,0.0,0.041057600622786405,0.0687487593462581,0.0240681970858718,7.105804603297741e-05,0.0029127431865032,3.304985624080832e-13
bsu,Microbial metabolism in diverse environments,0.0017724582852895077,0.0038498556304138,0.0009624639076034,0.007031880269586869,0.0359394037174473,0.0,0.04780523224711938,0.0685672804065201,0.0231573316691555,0.0017494973094688714,0.0338591802745962,6.320484522610019e-13
bsu,Nucleotide metabolism,0.0022651090239288007,0.0057747834456207,0.0009624639076034,0.012685134434567345,0.1497060378455988,0.0,0.03148626145052092,0.0391204488120787,0.0256005913514845,7.157956249658164e-08,3.78310133170312e-07,1.0563677292441089e-10
cdi,2-Oxocarboxylic acid metabolism,0.002710027100271,0.005420054200542,0.0013550135501355,0.01337010766672631,0.219189070584438,0.0,0.042243484323973034,0.0528653295128939,0.0346625334648443,0.0007784050369276344,0.0084454196597358,1.6784188340994653e-08
cdi,Biosynthesis of amino acids,0.0037357850214016124,0.013550135501355,0.0013550135501355,0.04540831341446524,0.6030540705964453,0.0,0.04382151295233447,0.0546869210818821,0.0261081826865249,0.026959860902126632,0.3792533733434073,6.234808419078869e-11
cdi,Biosynthesis of cofactors,0.0030383343481011874,0.0121951219512195,0.0013550135501355,0.04211322253230168,0.2702341948792622,0.0,0.03182494104430037,0.0505098898090479,0.0162673308792734,0.004012381557020032,0.3209800045102313,2.342203119413495e-12
cdi,Biosynthesis of nucleotide sugars,0.0027456853515903552,0.005420054200542,0.0013550135501355,0.01459598542354516,0.0753677690620379,0.0,0.037970695982677015,0.0478227060653188,0.0314350215104144,0.004700559857954848,0.0645782833170164,4.8949603031638375e-09
cdi,Biosynthesis of secondary metabolites,0.0026805702839637065,0.0067750677506775,0.0013550135501355,0.0772278600122407,0.4787215710685628,0.0,0.036965181928868746,0.0542407761281787,0.0232075471698113,0.006183363310534757,0.2805219757544016,7.729351471246807e-11
cdi,Carbon metabolism,0.002930610701455849,0.0067750677506775,0.0013550135501355,0.017713944077295072,0.3710794124413406,0.0,0.0442984353924635,0.0523515641625877,0.0334860928354281,0.019140191350595602,0.2169499314814875,3.835123423499503e-09
cdi,Fatty acid metabolism,0.002728588929724911,0.0067750677506775,0.0013550135501355,0.09271221218990668,0.2497181117427065,0.0,0.024789445470905856,0.0513319885928914,0.0127816553802455,6.329946461528463e-05,0.002932334256835,3.6986925974009975e-12
cdi,Microbial metabolism in diverse environments,0.0022744870305845895,0.0040650406504065,0.0013550135501355,0.003180911705412854,0.0222487811547776,0.0,0.043986711142778794,0.0520231213872832,0.0376742049109193,0.0027167556547387024,0.0222117021411775,5.7621820564862966e-08
cdi,Nucleotide metabolism,0.0030613269095653892,0.0067750677506775,0.0013550135501355,0.013875408499501304,0.112284107915706,0.0,0.025194908979296726,0.031788421778084,0.0216708266040229,4.8029536176022034e-08,2.453582866711118e-07,1.2497664704581554e-10
eco,2-Oxocarboxylic acid metabolism,0.0015455304928988264,0.0039682539682539,0.0007936507936507,0.005103202582244164,0.0760810295459315,0.0,0.05121489567953621,0.069813829787234,0.0339467090551499,0.0009453242689412198,0.0165603330428556,8.004043179473709e-13
eco,Biosynthesis of amino acids,0.0020408163265305287,0.0087301587301587,0.0007936507936507,0.03028629598336451,0.2823666311805474,0.0,0.05002764648404307,0.0711542805511633,0.0277099689912251,0.015115514014229241,0.3729726899509958,1.8991672166057398e-16
eco,Biosynthesis of cofactors,0.001796995275256059,0.0087301587301587,0.0007936507936507,0.02307821034137364,0.2176546738912368,0.0,0.04030976325279482,0.0650893687364397,0.0227794551009708,0.0023371014567327374,0.297694187887553,4.4424379240059084e-20
eco,Biosynthesis of nucleotide sugars,0.001597222222222135,0.0031746031746031,0.0007936507936507,0.008047178642071115,0.0509616946812522,0.0,0.04518679674081375,0.062627367165366,0.0360855743620585,0.006499566007679843,0.1514319295735494,4.913739511122292e-09
eco,Biosynthesis of secondary metabolites,0.0015446894641524638,0.0039682539682539,0.0007936507936507,0.01310857522364999,0.2221304279390104,0.0,0.04382677109421408,0.0699067909454061,0.0269657150194752,0.003934746132302314,0.2701850655536184,4.8182510685719714e-17
eco,Carbon metabolism,0.001996927803379332,0.0047619047619047,0.0007936507936507,0.01920046851329058,0.1900263929014447,0.0,0.060014114254884114,0.0708422354660969,0.0479287915097569,0.017318084494364516,0.2116228932790118,1.002080806865633e-06
eco,Degradation of aromatic compounds,0.002236652236652155,0.0103174603174603,0.0007936507936507,0.03031308002922333,0.4143436719129578,0.0,0.05147855015858908,0.0725012946659761,0.0332059559889313,0.0035031480820021496,0.0612781504108277,1.261170425045838e-12
eco,Fatty acid metabolism,0.0016361416361415492,0.0063492063492063,0.0007936507936507,0.034941750493421006,0.1615327926923176,0.0,0.03491457858078962,0.0686386664487661,0.0143817557156064,0.0002200190512546847,0.0110452701614534,2.4443884812000177e-21
eco,Microbial metabolism in diverse environments,0.0015333117373932824,0.0031746031746031,0.0007936507936507,0.006153068346052118,0.047191590601304,0.0,0.04908242996560541,0.069398545935228,0.0233744550598274,0.0022342423123155215,0.066542156153954,1.4853427412530874e-19
eco,Nucleotide metabolism,0.0019604359156597116,0.0055555555555555,0.0007936507936507,0.0072931055655119864,0.1134165955749736,0.0,0.0325458576101062,0.0384615384615384,0.0259585075918333,6.209406796135761e-11,3.694591260362462e-10,3.2040980377102765e-14
hpy,2-Oxocarboxylic acid metabolism,0.0041580041580041,0.0041580041580041,0.0041580041580041,0.01607018781289446,0.1432661163758697,0.0004043191543191,0.0695339789699029,0.0858009275775954,0.0634062747165831,0.0006186922576284116,0.0056836595123402,1.97196641128034e-05
hpy,Biosynthesis of amino acids,0.005755286243091064,0.0166320166320166,0.002079002079002,0.057253651681658614,0.477316167942939,0.0,0.06405539384072714,0.0887126521578753,0.0358313468414779,0.03636146503840988,0.3822980276996902,2.8568509946717353e-10
hpy,Biosynthesis of cofactors,0.004455004455004398,0.0124740124740124,0.002079002079002,0.04337281820310866,0.1899688149688149,0.0,0.050494374558082374,0.0775306254029658,0.0296437815851103,0.00018865367941902183,0.0129467831929284,2.4871402419457213e-11
hpy,Biosynthesis of nucleotide sugars,0.004422604422604366,0.0166320166320166,0.002079002079002,0.030057249151403162,0.1982394331855368,0.0,0.05258897017552563,0.0770092859430035,0.0312947299934938,0.012247918932677014,0.2506937128908056,1.013760576314864e-11
hpy,Biosynthesis of secondary metabolites,0.0040557581541187495,0.0103950103950103,0.002079002079002,0.03829416835948071,0.3381852670796784,0.0,0.05215619894811312,0.0861698316015765,0.029505582137161,0.009113309974066017,0.2837108410145375,8.750014785895565e-12
hpy,Carbon metabolism,0.004663707366410014,0.0103950103950103,0.002079002079002,0.028164855806640375,0.2379967381583243,0.0,0.07238768042269035,0.0861698316015765,0.059529702970297,0.025470540614939214,0.2194149038503534,3.50787286767692e-06
hpy,Fatty acid metabolism,0.004360129360129302,0.0166320166320166,0.002079002079002,0.05255105175635733,0.3990040355360406,0.0,0.04675917920457985,0.0841203217908359,0.0263619423435273,8.900224458879534e-05,0.003978339397848,8.749779156075091e-12
hpy,Microbial metabolism in diverse environments,0.0035252643948295477,0.0062370062370062,0.002079002079002,0.003411037217265894,0.0134701514372798,0.0,0.06634889881517467,0.0778821243523316,0.053302304964539,0.005912145949982052,0.0733649127338869,4.878553020492447e-07
hpy,Nucleotide metabolism,0.00429660429660424,0.0083160083160083,0.002079002079002,0.015263195888195845,0.0771150958650958,0.0,0.034186944681645376,0.0414583692466816,0.0298276075902269,6.542594956487728e-09,1.8873850763463558e-08,2.077894482235073e-10
lba,2-Oxocarboxylic acid metabolism,0.002966496044671929,0.003257328990228,0.001628664495114,0.009652783788064565,0.1221914010271972,0.0,0.05308007962900576,0.0773202367460017,0.0362626978502244,0.0006595891867099718,0.0157974775898386,3.2845648487710765e-11
lba,Biosynthesis of amino acids,0.004108123875735313,0.013029315960912,0.001628664495114,0.038896309761619514,0.5211198029940463,0.0,0.05722803904289724,0.081195450938905,0.0296217676572751,0.022078642631762523,0.4054793262069381,1.842458905393436e-12
lba,Biosynthesis of cofactors,0.0036392227339099035,0.013029315960912,0.001628664495114,0.05534659790036978,0.2289785377621672,0.0,0.045848676186748066,0.0725768321513002,0.016936996579499,0.007241044437162559,0.3921161757464009,1.1585030248414437e-13
lba,Biosynthesis of nucleotide sugars,0.003257328990228,0.006514657980456,0.001628664495114,0.015062762282833405,0.0730516691375606,0.0,0.050613860945664814,0.0675467546754675,0.0382840753211123,0.007295215915613032,0.0990019112556669,1.9880548778144362e-08
lba,Biosynthesis of secondary metabolites,0.0031462836837429548,0.006514657980456,0.001628664495114,0.02473244873734959,0.3379872018079658,0.0,0.04892018696426358,0.0785467570679288,0.0287763040727375,0.006636644661616636,0.2646935643441409,1.5904558413520386e-12
lba,Carbon metabolism,0.0033251900108577505,0.00814332247557,0.001628664495114,0.038176870614087345,0.3192881263663707,0.0,0.06687153875969441,0.0784063338015579,0.0551068030874169,0.031080461330272244,0.1605017968312173,4.06861406578219e-05
lba,Fatty acid metabolism,0.003403179542029254,0.011400651465798,0.001628664495114,0.04096083453507452,0.3285590044334987,0.0,0.04348781196461494,0.0750794815358278,0.0263406263406263,0.0003331261019572607,0.0129104344780726,1.4455714905116357e-14
lba,Microbial metabolism in diverse environments,0.002901058631921813,0.004885993485342,0.001628664495114,0.00927539472923644,0.0740356030882121,0.0,0.060212180282102123,0.0759995048892189,0.0444734173547732,0.0075302412757422,0.1129971784517881,1.5299391085267868e-08
lba,Nucleotide metabolism,0.003853181854294098,0.00814332247557,0.001628664495114,0.014550102065665793,0.0659134003759945,0.0,0.03386009600068149,0.0404666183352006,0.0284259259259259,1.78135248091804e-08,6.67686864338314e-08,7.722509148187542e-10
mtu,2-Oxocarboxylic acid metabolism,0.002070828331332483,0.0052521008403361,0.0010504201680672,0.011651829513989074,0.2513298366221732,0.0,0.043846746865943996,0.0626068657109036,0.0304065923536363,0.0007254920704620937,0.0122319981059244,2.9350344395131047e-14
mtu,Biosynthesis of amino acids,0.002692136457231847,0.0084033613445378,0.0010504201680672,0.03183053159532395,0.3541741940861223,0.0,0.04658108308913646,0.062805119408893,0.0271140098544615,0.01801317821339855,0.3772222991922744,1.8241369547327744e-16
mtu,Biosynthesis of cofactors,0.0023705428117192307,0.0105042016806722,0.0010504201680672,0.022892621762271366,0.2040907845788157,0.0,0.03700511662873314,0.0576445655464729,0.0217973669147109,0.004076116067012256,0.318768730971492,4.640031381615146e-16
mtu,Biosynthesis of nucleotide sugars,0.002080243862250735,0.0042016806722689,0.0010504201680672,0.01029698716909244,0.0591876776181691,0.0,0.043113664744842004,0.0574151136843374,0.0323204888813444,0.008313298528334387,0.158689726811126,7.455329922545276e-10
mtu,Biosynthesis of secondary metabolites,0.0021492149491374995,0.0052521008403361,0.0010504201680672,0.04347613509282904,0.4636085824328085,0.0,0.04090597936904755,0.0633484162895927,0.0233093384261299,0.003771266291940665,0.2796094978500262,3.4212775962930254e-15
